WHO_REGION,Name,Cases - cumulative total per 100000 population,Deaths - cumulative total per 100000 population,COUNTRY,PERSONS_FULLY_VACCINATED_PER100,NUMBER_VACCINES_TYPES_USED
AFRO,Algeria,593.352,15.256,Algeria,13.218,4
AFRO,Angola,299.62,5.772,Angola,14.848,1
AFRO,Benin,219.018,1.345,Benin,14.582,5
AFRO,Botswana,11041.504,110.434,Botswana,43.968,6
AFRO,Burkina Faso,99.008,1.794,Burkina Faso,3.693,3
AFRO,Burundi,318.364,0.126,Burundi,0.063,1
AFRO,Côte d’Ivoire,307.223,2.991,C??te d??Ivoire,9.032,5
AFRO,Cabo Verde,10039.803,71.584,Cabo Verde,51.431,4
AFRO,Cameroon,447.056,7.214,Cameroon,2.499,4
AFRO,Central African Republic,293.058,2.298,Central African Republic,12.316,2
AFRO,Chad,43.931,1.157,Chad,0.829,1
AFRO,Comoros,917.432,18.399,Comoros,34.137,3
AFRO,Congo,432.396,6.796,Congo,10.576,4
AFRO,Democratic Republic of the Congo,95.773,1.469,Democratic Republic of the Congo,0.236,1
AFRO,Equatorial Guinea,1129.948,12.972,Equatorial Guinea,14.553,2
AFRO,Eswatini,5923.904,119.035,Eswatini,28.862,3
AFRO,Ethiopia,406.349,6.443,Ethiopia,3.508,4
AFRO,Gabon,2129.59,13.569,Gabon,10.521,3
AFRO,Gambia,492.869,15.103,Gambia,12.608,2
AFRO,Ghana,507.68,4.567,Ghana,10.881,2
AFRO,Guinea,276.514,3.305,Guinea,9.845,6
AFRO,Guinea-Bissau,397.358,8.028,Guinea-Bissau,14.826,2
AFRO,Kenya,599.454,10.463,Kenya,11.608,5
AFRO,Lesotho,1511.122,32.489,Lesotho,33.961,3
AFRO,Liberia,145.482,5.734,Liberia,19.514,1
AFRO,Madagascar,221.855,4.72,Madagascar,3.346,3
AFRO,Malawi,443.995,13.518,Malawi,3.593,2
AFRO,Mali,149.268,3.531,Mali,3.133,1
AFRO,Mauritania,1259.06,20.883,Mauritania,21.557,2
AFRO,Mauritius,5571.928,61.804,Mauritius,71.546,3
AFRO,Mozambique,718.464,7,Mozambique,28.868,3
AFRO,Namibia,6161.702,156.952,Namibia,14.041,4
AFRO,Niger,35.953,1.252,Niger,4.238,2
